model_name,task_type,checkpoint_stage,eval_stage,task_score,split_type,num_examples,invalid_json_count,invalid_json_rate
GLM-4-9B-1M,IE,1,1,0.473684,held_out_character,57,0,0.000000
GLM-4-9B-1M,MSR,1,1,0.089286,held_out_character,56,0,0.000000
GLM-4-9B-1M,ES,1,1,0.052083,held_out_character,48,3,0.062500
GLM-4-9B-1M,TR,1,1,0.04878,held_out_character,41,0,0.000000
GLM-4-9B-1M,KU,1,1,0.210526,held_out_character,19,0,0.000000
GLM-4-9B-1M,MA,1,1,0.133333,held_out_character,15,0,0.000000
GLM-4-9B-1M,IE,2,1,0.350877,held_out_character,57,0,0.000000
GLM-4-9B-1M,MSR,2,1,0.071429,held_out_character,56,1,0.017857
GLM-4-9B-1M,ES,2,1,0.010417,held_out_character,48,0,0.000000
GLM-4-9B-1M,TR,2,1,0.0,held_out_character,41,0,0.000000
GLM-4-9B-1M,KU,2,1,0.105263,held_out_character,19,0,0.000000
GLM-4-9B-1M,MA,2,1,0.066667,held_out_character,15,0,0.000000
GLM-4-9B-1M,IE,2,2,0.442623,held_out_character,61,0,0.000000
GLM-4-9B-1M,MSR,2,2,0.155172,held_out_character,58,1,0.017241
GLM-4-9B-1M,ES,2,2,0.009615,held_out_character,52,2,0.038462
GLM-4-9B-1M,TR,2,2,0.113636,held_out_character,44,0,0.000000
GLM-4-9B-1M,KU,2,2,0.461538,held_out_character,13,0,0.000000
GLM-4-9B-1M,MA,2,2,0.25,held_out_character,6,0,0.000000
GLM-4-9B-1M,IE,3,1,0.298246,held_out_character,57,0,0.000000
GLM-4-9B-1M,MSR,3,1,0.053571,held_out_character,56,4,0.071429
GLM-4-9B-1M,ES,3,1,0.020833,held_out_character,48,1,0.020833
GLM-4-9B-1M,TR,3,1,0.0,held_out_character,41,0,0.000000
GLM-4-9B-1M,KU,3,1,0.105263,held_out_character,19,0,0.000000
GLM-4-9B-1M,MA,3,1,0.033333,held_out_character,15,0,0.000000
GLM-4-9B-1M,IE,3,2,0.360656,held_out_character,61,0,0.000000
GLM-4-9B-1M,MSR,3,2,0.103448,held_out_character,58,1,0.017241
GLM-4-9B-1M,ES,3,2,0.009615,held_out_character,52,4,0.076923
GLM-4-9B-1M,TR,3,2,0.068182,held_out_character,44,0,0.000000
