model_name,task_type,task_short,invalid_json_count,total_count,invalid_json_rate
Gemma-4-31B,Information Extraction,IE,5,2906,0.17%
Gemma-4-31B,Multi-session Reasoning,MSR,0,2914,0.00%
Gemma-4-31B,Event Summarization,ES,1,2544,0.04%
Gemma-4-31B,Temporal Reasoning,TR,12,1947,0.62%
Gemma-4-31B,Knowledge Updating,KU,0,821,0.00%
Gemma-4-31B,Memory Arbitration,MA,1,663,0.15%
Qwen3.5-27B,Information Extraction,IE,23,2906,0.79%
Qwen3.5-27B,Multi-session Reasoning,MSR,4,2914,0.14%
Qwen3.5-27B,Event Summarization,ES,0,2544,0.00%
Qwen3.5-27B,Temporal Reasoning,TR,9,1947,0.46%
Qwen3.5-27B,Knowledge Updating,KU,2,821,0.24%
Qwen3.5-27B,Memory Arbitration,MA,77,663,11.61%
Gemma-4-26B-A4B,Information Extraction,IE,47,2906,1.62%
Gemma-4-26B-A4B,Multi-session Reasoning,MSR,23,2914,0.79%
Gemma-4-26B-A4B,Event Summarization,ES,0,2544,0.00%
Gemma-4-26B-A4B,Temporal Reasoning,TR,30,1947,1.54%
Gemma-4-26B-A4B,Knowledge Updating,KU,0,821,0.00%
Gemma-4-26B-A4B,Memory Arbitration,MA,1,663,0.15%
Qwen3.5-35B-A3B,Information Extraction,IE,164,2906,5.64%
Qwen3.5-35B-A3B,Multi-session Reasoning,MSR,2,2914,0.07%
Qwen3.5-35B-A3B,Event Summarization,ES,3,2544,0.12%
Qwen3.5-35B-A3B,Temporal Reasoning,TR,18,1947,0.92%
Qwen3.5-35B-A3B,Knowledge Updating,KU,10,821,1.22%
Qwen3.5-35B-A3B,Memory Arbitration,MA,115,663,17.35%
Qwen3.5-9B,Information Extraction,IE,46,2906,1.58%
Qwen3.5-9B,Multi-session Reasoning,MSR,1,2914,0.03%
Qwen3.5-9B,Event Summarization,ES,1,2544,0.04%
Qwen3.5-9B,Temporal Reasoning,TR,5,1947,0.26%
Qwen3.5-9B,Knowledge Updating,KU,0,821,0.00%
Qwen3.5-9B,Memory Arbitration,MA,66,663,9.95%
GLM-4-9B-1M,Information Extraction,IE,73,2906,2.51%
GLM-4-9B-1M,Multi-session Reasoning,MSR,169,2914,5.80%
GLM-4-9B-1M,Event Summarization,ES,270,2544,10.61%
GLM-4-9B-1M,Temporal Reasoning,TR,0,1947,0.00%
GLM-4-9B-1M,Knowledge Updating,KU,1,821,0.12%
GLM-4-9B-1M,Memory Arbitration,MA,6,663,0.90%
Llama4-Scout,Information Extraction,IE,791,2906,27.22%
Llama4-Scout,Multi-session Reasoning,MSR,43,2914,1.48%
Llama4-Scout,Event Summarization,ES,29,2544,1.14%
Llama4-Scout,Temporal Reasoning,TR,384,1947,19.72%
Llama4-Scout,Knowledge Updating,KU,4,821,0.49%
Llama4-Scout,Memory Arbitration,MA,36,663,5.43%
Qwen2.5-7B-1M,Information Extraction,IE,237,2906,8.16%
Qwen2.5-7B-1M,Multi-session Reasoning,MSR,80,2914,2.75%
Qwen2.5-7B-1M,Event Summarization,ES,6,2544,0.24%
Qwen2.5-7B-1M,Temporal Reasoning,TR,0,1947,0.00%
Qwen2.5-7B-1M,Knowledge Updating,KU,0,821,0.00%
Qwen2.5-7B-1M,Memory Arbitration,MA,0,663,0.00%
GLM-4.7-Flash,Information Extraction,IE,1282,2906,44.12%
GLM-4.7-Flash,Multi-session Reasoning,MSR,292,2914,10.02%
GLM-4.7-Flash,Event Summarization,ES,520,2544,20.44%
GLM-4.7-Flash,Temporal Reasoning,TR,205,1947,10.53%
GLM-4.7-Flash,Knowledge Updating,KU,105,821,12.79%
GLM-4.7-Flash,Memory Arbitration,MA,258,663,38.91%
Hunyuan-A13B,Information Extraction,IE,70,2906,2.41%
Hunyuan-A13B,Multi-session Reasoning,MSR,352,2914,12.08%
Hunyuan-A13B,Event Summarization,ES,124,2544,4.87%
Hunyuan-A13B,Temporal Reasoning,TR,631,1947,32.41%
Hunyuan-A13B,Knowledge Updating,KU,2,821,0.24%
Hunyuan-A13B,Memory Arbitration,MA,174,663,26.24%
