model_name,split_type,checkpoint_stage,current_stage_score
GLM-4-9B-1M,held_out_character,1,0.167949
GLM-4-9B-1M,held_out_character,2,0.238764
GLM-4-9B-1M,held_out_character,3,0.183436
GLM-4-9B-1M,held_out_character,4,0.181374
GLM-4-9B-1M,held_out_character,5,0.218577
GLM-4-9B-1M,held_out_character,6,0.167684
GLM-4-9B-1M,held_out_character,7,0.175275
GLM-4-9B-1M,held_out_character,8,0.141405
GLM-4-9B-1M,held_out_character,9,0.168201
GLM-4-9B-1M,held_out_character,10,0.136138
GLM-4-9B-1M,supervised_character,1,0.216058
GLM-4-9B-1M,supervised_character,2,0.215602
GLM-4-9B-1M,supervised_character,3,0.22216
GLM-4-9B-1M,supervised_character,4,0.227881
GLM-4-9B-1M,supervised_character,5,0.195042
GLM-4-9B-1M,supervised_character,6,0.185783
GLM-4-9B-1M,supervised_character,7,0.199066
GLM-4-9B-1M,supervised_character,8,0.234719
GLM-4-9B-1M,supervised_character,9,0.225681
GLM-4-9B-1M,supervised_character,10,0.207098
Qwen2.5-7B-1M,held_out_character,1,0.095183
Qwen2.5-7B-1M,held_out_character,2,0.138051
Qwen2.5-7B-1M,held_out_character,3,0.104428
Qwen2.5-7B-1M,held_out_character,4,0.164847
Qwen2.5-7B-1M,held_out_character,5,0.160974
Qwen2.5-7B-1M,held_out_character,6,0.111847
Qwen2.5-7B-1M,held_out_character,7,0.146308
Qwen2.5-7B-1M,held_out_character,8,0.110027
Qwen2.5-7B-1M,held_out_character,9,0.136456
Qwen2.5-7B-1M,held_out_character,10,0.107911
Qwen2.5-7B-1M,supervised_character,1,0.096237
Qwen3.5-9B,held_out_character,1,0.151613
Qwen3.5-9B,held_out_character,2,0.173662
Qwen3.5-9B,held_out_character,3,0.145588
Qwen3.5-9B,held_out_character,4,0.145659
Qwen3.5-9B,held_out_character,5,0.155493
Qwen3.5-9B,held_out_character,6,0.173644
Qwen3.5-9B,held_out_character,7,0.231928
Qwen3.5-9B,held_out_character,8,0.186997
Qwen3.5-9B,held_out_character,9,0.149433
Qwen3.5-9B,held_out_character,10,0.146407
Qwen3.5-9B,supervised_character,1,0.156786
Qwen3.5-9B,supervised_character,2,0.155713
Qwen3.5-9B,supervised_character,3,0.177056
Qwen3.5-9B,supervised_character,4,0.188256
Qwen3.5-9B,supervised_character,5,0.15958
Qwen3.5-9B,supervised_character,6,0.165595
Qwen3.5-9B,supervised_character,7,0.197769
Qwen3.5-9B,supervised_character,8,0.185037
Qwen3.5-9B,supervised_character,9,0.161714
Qwen3.5-9B,supervised_character,10,0.190567
