model_name,split_type,task_type,task_short,mean_current_stage_task_score,stage_count
GLM-4-9B-1M,held_out_character,ES,ES,0.0151053,10
GLM-4-9B-1M,held_out_character,IE,IE,0.4104969,10
GLM-4-9B-1M,held_out_character,KU,KU,0.2902898,10
GLM-4-9B-1M,held_out_character,MA,MA,0.1087607,10
GLM-4-9B-1M,held_out_character,MSR,MSR,0.1537253,10
GLM-4-9B-1M,held_out_character,TR,TR,0.0889041,10
GLM-4-9B-1M,supervised_character,ES,ES,0.0130315,10
GLM-4-9B-1M,supervised_character,IE,IE,0.5680082,10
GLM-4-9B-1M,supervised_character,KU,KU,0.2904098,10
GLM-4-9B-1M,supervised_character,MA,MA,0.1123065,10
GLM-4-9B-1M,supervised_character,MSR,MSR,0.1487072,10
GLM-4-9B-1M,supervised_character,TR,TR,0.1449908,10
Qwen2.5-7B-1M,held_out_character,ES,ES,0.0137422,10
Qwen2.5-7B-1M,held_out_character,IE,IE,0.3309849,10
Qwen2.5-7B-1M,held_out_character,KU,KU,0.1998721,10
Qwen2.5-7B-1M,held_out_character,MA,MA,0.0993163,10
Qwen2.5-7B-1M,held_out_character,MSR,MSR,0.1092064,10
Qwen2.5-7B-1M,held_out_character,TR,TR,0.0124981,10
Qwen2.5-7B-1M,supervised_character,ES,ES,0.004762,1
Qwen2.5-7B-1M,supervised_character,IE,IE,0.260504,1
Qwen2.5-7B-1M,supervised_character,KU,KU,0.065574,1
Qwen2.5-7B-1M,supervised_character,MA,MA,0.149123,1
Qwen2.5-7B-1M,supervised_character,MSR,MSR,0.097458,1
Qwen2.5-7B-1M,supervised_character,TR,TR,0.0,1
Qwen3.5-9B,held_out_character,ES,ES,0.0105363,10
Qwen3.5-9B,held_out_character,IE,IE,0.384741,10
Qwen3.5-9B,held_out_character,KU,KU,0.2266149,10
Qwen3.5-9B,held_out_character,MA,MA,0.2115172,10
Qwen3.5-9B,held_out_character,MSR,MSR,0.132643,10
Qwen3.5-9B,held_out_character,TR,TR,0.0302024,10
Qwen3.5-9B,supervised_character,ES,ES,0.0081125,10
Qwen3.5-9B,supervised_character,IE,IE,0.4345652,10
Qwen3.5-9B,supervised_character,KU,KU,0.2396768,10
Qwen3.5-9B,supervised_character,MA,MA,0.2054847,10
Qwen3.5-9B,supervised_character,MSR,MSR,0.1399265,10
Qwen3.5-9B,supervised_character,TR,TR,0.0150773,10
