data_role,metric_group,task_type,model_name,checkpoint_stage,eval_stage,value,split_type,definition_note
old_stage_curve,overall,overall,GLM-4-9B-1M,2,,0.100775,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,3,,0.127292,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,4,,0.132897,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,5,,0.118671,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,6,,0.103242,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,7,,0.093492,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,8,,0.093015,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,9,,0.101465,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,GLM-4-9B-1M,10,,0.096556,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,2,,0.130589,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,3,,0.127733,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,4,,0.138449,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,5,,0.142767,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,6,,0.139625,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,7,,0.115267,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,8,,0.121083,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,9,,0.118437,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen3.5-9B,10,,0.113107,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,2,,0.098755,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,3,,0.102770,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,4,,0.106627,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,5,,0.107232,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
old_stage_curve,overall,overall,Qwen2.5-7B-1M,6,,0.101709,held_out_character,"mean over s<c of M(c,s,overall_equal_weighted_score)"
