model_name,checkpoint_stage,eval_stage,stage_relation,overall_score,num_examples,invalid_json_count,invalid_json_rate,split_type,source_file
GLM-4-9B-1M,1,1,current,0.167949,236,3,0.012712,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_memory_baseline/glm4_entitysplit_sw_nh_qa_upweight24_stage_01_fullptqa_e1_lr5e6_4567_unseen_vllm_mimo_seq/scores.json
GLM-4-9B-1M,2,1,old,0.100775,236,1,0.004237,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_02/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,2,2,current,0.238764,234,3,0.012821,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_02/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,3,1,old,0.085208,236,5,0.021186,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_03/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,3,2,old,0.169377,234,5,0.021368,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_03/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,3,3,current,0.183436,227,4,0.017621,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_03/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,4,1,old,0.077624,236,1,0.004237,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,4,2,old,0.179974,234,1,0.004274,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,4,3,old,0.141093,227,2,0.008811,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,4,4,current,0.181374,226,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_04/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,5,1,old,0.098799,236,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_01_unseen_mimo/scores.json
GLM-4-9B-1M,5,2,old,0.126120,234,1,0.004274,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_02_unseen_mimo/scores.json
GLM-4-9B-1M,5,3,old,0.119615,227,3,0.013216,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_03_unseen_mimo/scores.json
GLM-4-9B-1M,5,4,old,0.130148,226,1,0.004425,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_04_unseen_mimo/scores.json
GLM-4-9B-1M,5,5,current,0.218577,229,2,0.008734,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_05/stage_05_unseen_mimo/scores.json
GLM-4-9B-1M,6,1,old,0.097562,236,0,0.000000,held_out_character,dialogue_training/project_entity_split_sw_natural_header_qa_upweight24/outputs/eval_stagewise/checkpoint_stage_06/stage_01_unseen_mimo/scores.json
