model,checkpoint_stage,mean_retention_rate,std_retention_rate,num_old_stages,num_valid_old_stages
GLM-4-9B-Chat-1M,2,0.600033,0.000000,1,1
GLM-4-9B-Chat-1M,3,0.608368,0.142868,2,2
GLM-4-9B-Chat-1M,4,0.661710,0.172962,3,3
GLM-4-9B-Chat-1M,5,0.621534,0.081587,4,4
GLM-4-9B-Chat-1M,6,0.535337,0.189554,5,5
GLM-4-9B-Chat-1M,7,0.497148,0.154206,6,6
GLM-4-9B-Chat-1M,8,0.496442,0.156473,7,7
GLM-4-9B-Chat-1M,9,0.556155,0.140206,8,8
GLM-4-9B-Chat-1M,10,0.535124,0.152234,9,9
Qwen3.5-9B,2,0.861331,0.000000,1,1
Qwen3.5-9B,3,0.781176,0.087806,2,2
Qwen3.5-9B,4,0.882415,0.137364,3,3
Qwen3.5-9B,5,0.931698,0.114319,4,4
Qwen3.5-9B,6,0.909537,0.125774,5,5
Qwen3.5-9B,7,0.734574,0.097889,6,6
Qwen3.5-9B,8,0.724593,0.147700,7,7
Qwen3.5-9B,9,0.710875,0.148500,8,8
Qwen3.5-9B,10,0.682568,0.174638,9,9
Qwen2.5-7B-Instruct-1M,2,1.037528,0.000000,1,1
Qwen2.5-7B-Instruct-1M,3,0.875049,0.047765,2,2
Qwen2.5-7B-Instruct-1M,4,0.963171,0.120862,3,3
Qwen2.5-7B-Instruct-1M,5,0.903605,0.272770,4,4
Qwen2.5-7B-Instruct-1M,6,0.815875,0.305580,5,5
Qwen2.5-7B-Instruct-1M,7,0.736325,0.216099,6,6
Qwen2.5-7B-Instruct-1M,8,0.754536,0.229930,7,7
Qwen2.5-7B-Instruct-1M,9,0.839942,0.265765,8,8
Qwen2.5-7B-Instruct-1M,10,0.797366,0.261561,9,9
