model_name,checkpoint_stage,eval_stage,task_type,task_name_long,task_score,num_examples,invalid_json_count,invalid_json_rate,split_type
GLM-4-9B-1M,1,1,IE,Information Extraction,0.473684,57,0,0.000000,held_out_character
GLM-4-9B-1M,1,1,MSR,Multi-session Reasoning,0.089286,56,0,0.000000,held_out_character
GLM-4-9B-1M,1,1,ES,Event Summarization,0.052083,48,3,0.062500,held_out_character
GLM-4-9B-1M,1,1,TR,Temporal Reasoning,0.048780,41,0,0.000000,held_out_character
GLM-4-9B-1M,1,1,KU,Knowledge Updating,0.210526,19,0,0.000000,held_out_character
GLM-4-9B-1M,1,1,MA,Memory Arbitration,0.133333,15,0,0.000000,held_out_character
GLM-4-9B-1M,2,1,IE,Information Extraction,0.350877,57,0,0.000000,held_out_character
GLM-4-9B-1M,2,1,MSR,Multi-session Reasoning,0.071429,56,1,0.017857,held_out_character
GLM-4-9B-1M,2,1,ES,Event Summarization,0.010417,48,0,0.000000,held_out_character
GLM-4-9B-1M,2,1,TR,Temporal Reasoning,0.000000,41,0,0.000000,held_out_character
GLM-4-9B-1M,2,1,KU,Knowledge Updating,0.105263,19,0,0.000000,held_out_character
GLM-4-9B-1M,2,1,MA,Memory Arbitration,0.066667,15,0,0.000000,held_out_character
GLM-4-9B-1M,2,2,IE,Information Extraction,0.442623,61,0,0.000000,held_out_character
GLM-4-9B-1M,2,2,MSR,Multi-session Reasoning,0.155172,58,1,0.017241,held_out_character
GLM-4-9B-1M,2,2,ES,Event Summarization,0.009615,52,2,0.038462,held_out_character
GLM-4-9B-1M,2,2,TR,Temporal Reasoning,0.113636,44,0,0.000000,held_out_character
GLM-4-9B-1M,2,2,KU,Knowledge Updating,0.461538,13,0,0.000000,held_out_character
GLM-4-9B-1M,2,2,MA,Memory Arbitration,0.250000,6,0,0.000000,held_out_character
GLM-4-9B-1M,3,1,IE,Information Extraction,0.298246,57,0,0.000000,held_out_character
GLM-4-9B-1M,3,1,MSR,Multi-session Reasoning,0.053571,56,4,0.071429,held_out_character
GLM-4-9B-1M,3,1,ES,Event Summarization,0.020833,48,1,0.020833,held_out_character
GLM-4-9B-1M,3,1,TR,Temporal Reasoning,0.000000,41,0,0.000000,held_out_character
GLM-4-9B-1M,3,1,KU,Knowledge Updating,0.105263,19,0,0.000000,held_out_character
GLM-4-9B-1M,3,1,MA,Memory Arbitration,0.033333,15,0,0.000000,held_out_character
GLM-4-9B-1M,3,2,IE,Information Extraction,0.360656,61,0,0.000000,held_out_character
GLM-4-9B-1M,3,2,MSR,Multi-session Reasoning,0.103448,58,1,0.017241,held_out_character
GLM-4-9B-1M,3,2,ES,Event Summarization,0.009615,52,4,0.076923,held_out_character
GLM-4-9B-1M,3,2,TR,Temporal Reasoning,0.068182,44,0,0.000000,held_out_character
GLM-4-9B-1M,3,2,KU,Knowledge Updating,0.307692,13,0,0.000000,held_out_character
GLM-4-9B-1M,3,2,MA,Memory Arbitration,0.166667,6,0,0.000000,held_out_character
GLM-4-9B-1M,3,3,IE,Information Extraction,0.438596,57,0,0.000000,held_out_character
GLM-4-9B-1M,3,3,MSR,Multi-session Reasoning,0.157895,57,1,0.017544,held_out_character
GLM-4-9B-1M,3,3,ES,Event Summarization,0.020000,50,3,0.060000,held_out_character
GLM-4-9B-1M,3,3,TR,Temporal Reasoning,0.055556,36,0,0.000000,held_out_character
GLM-4-9B-1M,3,3,KU,Knowledge Updating,0.428571,14,0,0.000000,held_out_character
GLM-4-9B-1M,3,3,MA,Memory Arbitration,0.000000,13,0,0.000000,held_out_character
GLM-4-9B-1M,4,1,IE,Information Extraction,0.263158,57,0,0.000000,held_out_character
GLM-4-9B-1M,4,1,MSR,Multi-session Reasoning,0.053571,56,0,0.000000,held_out_character
GLM-4-9B-1M,4,1,ES,Event Summarization,0.010417,48,0,0.000000,held_out_character
GLM-4-9B-1M,4,1,TR,Temporal Reasoning,0.000000,41,0,0.000000,held_out_character
GLM-4-9B-1M,4,1,KU,Knowledge Updating,0.105263,19,0,0.000000,held_out_character
GLM-4-9B-1M,4,1,MA,Memory Arbitration,0.033333,15,1,0.066667,held_out_character
GLM-4-9B-1M,4,2,IE,Information Extraction,0.229508,61,0,0.000000,held_out_character
GLM-4-9B-1M,4,2,MSR,Multi-session Reasoning,0.034483,58,0,0.000000,held_out_character
GLM-4-9B-1M,4,2,ES,Event Summarization,0.038462,52,0,0.000000,held_out_character
GLM-4-9B-1M,4,2,TR,Temporal Reasoning,0.136364,44,0,0.000000,held_out_character
GLM-4-9B-1M,4,2,KU,Knowledge Updating,0.307692,13,0,0.000000,held_out_character
GLM-4-9B-1M,4,2,MA,Memory Arbitration,0.333333,6,1,0.166667,held_out_character
GLM-4-9B-1M,4,3,IE,Information Extraction,0.350877,57,0,0.000000,held_out_character
GLM-4-9B-1M,4,3,MSR,Multi-session Reasoning,0.105263,57,0,0.000000,held_out_character
GLM-4-9B-1M,4,3,ES,Event Summarization,0.000000,50,1,0.020000,held_out_character
GLM-4-9B-1M,4,3,TR,Temporal Reasoning,0.027778,36,0,0.000000,held_out_character
GLM-4-9B-1M,4,3,KU,Knowledge Updating,0.285714,14,0,0.000000,held_out_character
GLM-4-9B-1M,4,3,MA,Memory Arbitration,0.076923,13,1,0.076923,held_out_character
GLM-4-9B-1M,4,4,IE,Information Extraction,0.416667,60,0,0.000000,held_out_character
GLM-4-9B-1M,4,4,MSR,Multi-session Reasoning,0.186441,59,0,0.000000,held_out_character
GLM-4-9B-1M,4,4,ES,Event Summarization,0.000000,54,0,0.000000,held_out_character
GLM-4-9B-1M,4,4,TR,Temporal Reasoning,0.135135,37,0,0.000000,held_out_character
GLM-4-9B-1M,4,4,KU,Knowledge Updating,0.100000,10,0,0.000000,held_out_character
GLM-4-9B-1M,4,4,MA,Memory Arbitration,0.250000,6,0,0.000000,held_out_character
GLM-4-9B-1M,5,1,IE,Information Extraction,0.245614,57,0,0.000000,held_out_character
GLM-4-9B-1M,5,1,MSR,Multi-session Reasoning,0.089286,56,0,0.000000,held_out_character
GLM-4-9B-1M,5,1,ES,Event Summarization,0.000000,48,0,0.000000,held_out_character
GLM-4-9B-1M,5,1,TR,Temporal Reasoning,0.000000,41,0,0.000000,held_out_character
GLM-4-9B-1M,5,1,KU,Knowledge Updating,0.157895,19,0,0.000000,held_out_character
GLM-4-9B-1M,5,1,MA,Memory Arbitration,0.100000,15,0,0.000000,held_out_character
GLM-4-9B-1M,5,2,IE,Information Extraction,0.163934,61,0,0.000000,held_out_character
GLM-4-9B-1M,5,2,MSR,Multi-session Reasoning,0.094828,58,0,0.000000,held_out_character
GLM-4-9B-1M,5,2,ES,Event Summarization,0.009615,52,1,0.019231,held_out_character
GLM-4-9B-1M,5,2,TR,Temporal Reasoning,0.090909,44,0,0.000000,held_out_character
GLM-4-9B-1M,5,2,KU,Knowledge Updating,0.230769,13,0,0.000000,held_out_character
GLM-4-9B-1M,5,2,MA,Memory Arbitration,0.166667,6,0,0.000000,held_out_character
GLM-4-9B-1M,5,3,IE,Information Extraction,0.192982,57,0,0.000000,held_out_character
GLM-4-9B-1M,5,3,MSR,Multi-session Reasoning,0.035088,57,0,0.000000,held_out_character
GLM-4-9B-1M,5,3,ES,Event Summarization,0.000000,50,3,0.060000,held_out_character
GLM-4-9B-1M,5,3,TR,Temporal Reasoning,0.055556,36,0,0.000000,held_out_character
GLM-4-9B-1M,5,3,KU,Knowledge Updating,0.357143,14,0,0.000000,held_out_character
GLM-4-9B-1M,5,3,MA,Memory Arbitration,0.076923,13,0,0.000000,held_out_character
GLM-4-9B-1M,5,4,IE,Information Extraction,0.250000,60,0,0.000000,held_out_character
GLM-4-9B-1M,5,4,MSR,Multi-session Reasoning,0.110169,59,0,0.000000,held_out_character
GLM-4-9B-1M,5,4,ES,Event Summarization,0.000000,54,1,0.018519,held_out_character
GLM-4-9B-1M,5,4,TR,Temporal Reasoning,0.054054,37,0,0.000000,held_out_character
GLM-4-9B-1M,5,4,KU,Knowledge Updating,0.200000,10,0,0.000000,held_out_character
GLM-4-9B-1M,5,4,MA,Memory Arbitration,0.166667,6,0,0.000000,held_out_character
GLM-4-9B-1M,5,5,IE,Information Extraction,0.396552,58,0,0.000000,held_out_character
GLM-4-9B-1M,5,5,MSR,Multi-session Reasoning,0.169492,59,0,0.000000,held_out_character
GLM-4-9B-1M,5,5,ES,Event Summarization,0.000000,50,2,0.040000,held_out_character
GLM-4-9B-1M,5,5,TR,Temporal Reasoning,0.102564,39,0,0.000000,held_out_character
GLM-4-9B-1M,5,5,KU,Knowledge Updating,0.642857,14,0,0.000000,held_out_character
GLM-4-9B-1M,5,5,MA,Memory Arbitration,0.000000,9,0,0.000000,held_out_character
GLM-4-9B-1M,6,1,IE,Information Extraction,0.245614,57,0,0.000000,held_out_character
GLM-4-9B-1M,6,1,MSR,Multi-session Reasoning,0.098214,56,0,0.000000,held_out_character
GLM-4-9B-1M,6,1,ES,Event Summarization,0.020833,48,0,0.000000,held_out_character
GLM-4-9B-1M,6,1,TR,Temporal Reasoning,0.048780,41,0,0.000000,held_out_character
GLM-4-9B-1M,6,1,KU,Knowledge Updating,0.105263,19,0,0.000000,held_out_character
GLM-4-9B-1M,6,1,MA,Memory Arbitration,0.066667,15,0,0.000000,held_out_character
GLM-4-9B-1M,6,2,IE,Information Extraction,0.147541,61,0,0.000000,held_out_character
GLM-4-9B-1M,6,2,MSR,Multi-session Reasoning,0.077586,58,0,0.000000,held_out_character
GLM-4-9B-1M,6,2,ES,Event Summarization,0.009615,52,0,0.000000,held_out_character
GLM-4-9B-1M,6,2,TR,Temporal Reasoning,0.090909,44,0,0.000000,held_out_character
GLM-4-9B-1M,6,2,KU,Knowledge Updating,0.230769,13,0,0.000000,held_out_character
GLM-4-9B-1M,6,2,MA,Memory Arbitration,0.000000,6,0,0.000000,held_out_character
GLM-4-9B-1M,6,3,IE,Information Extraction,0.228070,57,0,0.000000,held_out_character
